TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P,CD
,,,,,,,,,,,,,,nonwinner31.ai,nonwinner116.ai,nonwinner57.ai,,3,
,,,,,,,,,,,,,,nonwinner21.ai,nonwinner30.ai,nonwinner42.ai,,3,
,,,,,,,,,,,,,,nonwinner94.ai,nonwinner119.ai,nonwinner125.ai,,3,
,,,,,,,,,,,,,,nonwinner69.ai,nonwinner117.ai,nonwinner162.ai,,3,
,,,,,,,,,,,,,,nonwinner54.ai,nonwinner122.ai,nonwinner166.ai,,3,
,,,,,,,,,,,,,,nonwinner16.ai,nonwinner113.ai,nonwinner80.ai,,3,
,,,,,,,,,,,,,,nonwinner29.ai,nonwinner71.ai,nonwinner75.ai,,3,
,,,,,,,,,,,,,,nonwinner79.ai,nonwinner60.ai,nonwinner128.ai,,3,
,,,,,,,,,,,,,,nonwinner63.ai,nonwinner58.ai,nonwinner142.ai,,3,
,,,,,,,,,,,,,,nonwinner133.ai,nonwinner84.ai,nonwinner114.ai,,3,
,,,,,,,,,,,,,,nonwinner137.ai,nonwinner91.ai,nonwinner135.ai,,3,
,,,,,,,,,,,,,,nonwinner90.ai,nonwinner96.ai,nonwinner59.ai,,3,
,,,,,,,,,,,,,,nonwinner76.ai,nonwinner85.ai,nonwinner47.ai,,3,
,,,,,,,,,,,,,,nonwinner118.ai,nonwinner62.ai,nonwinner123.ai,,3,
,,,,,,,,,,,,,,nonwinner105.ai,nonwinner23.ai,nonwinner28.ai,,3,
,,,,,,,,,,,,,,nonwinner35.ai,nonwinner03.ai,nonwinner99.ai,,3,
,,,,,,,,,,,,,,nonwinner41.ai,nonwinner111.ai,nonwinner36.ai,,3,
,,,,,,,,,,,,,,nonwinner20.ai,nonwinner102.ai,nonwinner37.ai,,3,
,,,,,,,,,,,,,,nonwinner129.ai,nonwinner98.ai,nonwinner101.ai,,3,
,,,,,,,,,,,,,,nonwinner49.ai,nonwinner39.ai,nonwinner26.ai,,3,
,,,,,,,,,,,,,,nonwinner78.ai,nonwinner34.ai,nonwinner02.ai,,3,
,,,,,,,,,,,,,,nonwinner146.ai,nonwinner104.ai,nonwinner67.ai,,3,
,,,,,,,,,,,,,,nonwinner68.ai,nonwinner109.ai,nonwinner07.ai,,3,
,,,,,,,,,,,,,,nonwinner107.ai,nonwinner27.ai,nonwinner97.ai,,3,
,,,,,,,,,,,,,,nonwinner38.ai,nonwinner89.ai,nonwinner51.ai,,3,
,,,,,,,,,,,,,,nonwinner103.ai,nonwinner145.ai,nonwinner50.ai,,3,
,,,,,,,,,,,,,,nonwinner115.ai,nonwinner126.ai,nonwinner61.ai,,3,
,,,,,,,,,,,,,,nonwinner136.ai,nonwinner100.ai,nonwinner12.ai,,3,
,,,,,,,,,,,,,,nonwinner44.ai,nonwinner52.ai,nonwinner01.ai,,3,
,,,,,,,,,,,,,,nonwinner55.ai,nonwinner65.ai,nonwinner33.ai,,3,
,,,,,,,,,,,,,,nonwinner77.ai,nonwinner13.ai,nonwinner112.ai,,3,
,,,,,,,,,,,,,,nonwinner45.ai,nonwinner110.ai,nonwinner152.ai,,3,
,,,,,,,,,,,,,,nonwinner53.ai,nonwinner149.ai,nonwinner87.ai,,3,
,,,,,,,,,,,,,,nonwinner156.ai,nonwinner70.ai,nonwinner153.ai,,3,
,,,,,,,,,,,,,,nonwinner157.ai,nonwinner10.ai,nonwinner143.ai,,3,
,,,,,,,,,,,,,,nonwinner18.ai,nonwinner108.ai,nonwinner15.ai,,3,
,,,,,,,,,,,,,,nonwinner40.ai,nonwinner165.ai,nonwinner08.ai,,3,
,,,,,,,,,,,,,,nonwinner73.ai,nonwinner148.ai,nonwinner124.ai,,3,
,,,,,,,,,,,,,,nonwinner64.ai,nonwinner81.ai,nonwinner72.ai,,3,
,,,,,,,,,,,,,,nonwinner163.ai,nonwinner82.ai,nonwinner66.ai,,3,
,,,,,,,,,,,,,,nonwinner132.ai,nonwinner88.ai,nonwinner22.ai,,3,
,,,,,,,,,,,,,,nonwinner17.ai,nonwinner56.ai,nonwinner140.ai,,3,
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner164.ai,nonwinner32.ai,,3,
,,,,,,,,,,,,,,nonwinner154.ai,nonwinner121.ai,nonwinner19.ai,,3,
,,,,,,,,,,,,,,nonwinner155.ai,nonwinner160.ai,nonwinner95.ai,,3,
,,,,,,,,,,,,,,nonwinner144.ai,nonwinner141.ai,nonwinner93.ai,,3,
,,,,,,,,,,,,,,nonwinner48.ai,nonwinner147.ai,nonwinner11.ai,,3,
,,,,,,,,,,,,,,nonwinner150.ai,nonwinner86.ai,nonwinner106.ai,,3,
,,,,,,,,,,,,,,nonwinner134.ai,nonwinner151.ai,nonwinner92.ai,,3,
,,,,,,,,,,,,,,nonwinner131.ai,nonwinner159.ai,nonwinner138.ai,,3,
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner24.ai,nonwinner43.ai,,3,
,,,,,,,,,,,,,,nonwinner161.ai,nonwinner25.ai,nonwinner158.ai,,3,
,,,,,,,,,,,,,,nonwinner130.ai,nonwinner09.ai,nonwinner139.ai,,3,
,,,,,,,,,,,,,,nonwinner118.ai,nonwinner29.ai,nonwinner134.ai,,3,
,,,,,,,,,,,,,,nonwinner104.ai,nonwinner38.ai,nonwinner45.ai,,3,
,,,,,,,,,,,,,,nonwinner93.ai,nonwinner09.ai,nonwinner132.ai,,3,
