TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P,CD
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner138.ai,nonwinner159.ai,,1,
,,,,,,,,,,,,,,nonwinner42.ai,nonwinner08.ai,nonwinner116.ai,,1,
,,,,,,,,,,,,,,nonwinner29.ai,nonwinner79.ai,nonwinner24.ai,,1,
,,,,,,,,,,,,,,nonwinner70.ai,nonwinner13.ai,nonwinner89.ai,,1,
,,,,,,,,,,,,,,nonwinner154.ai,nonwinner39.ai,nonwinner112.ai,,1,
,,,,,,,,,,,,,,nonwinner86.ai,nonwinner108.ai,nonwinner147.ai,,1,
,,,,,,,,,,,,,,nonwinner50.ai,nonwinner126.ai,nonwinner19.ai,,1,
,,,,,,,,,,,,,,nonwinner73.ai,nonwinner139.ai,nonwinner11.ai,,1,
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner36.ai,nonwinner63.ai,,1,
,,,,,,,,,,,,,,nonwinner162.ai,nonwinner52.ai,nonwinner57.ai,,1,
,,,,,,,,,,,,,,nonwinner83.ai,nonwinner43.ai,nonwinner137.ai,,1,
,,,,,,,,,,,,,,nonwinner32.ai,nonwinner125.ai,nonwinner31.ai,,1,
,,,,,,,,,,,,,,nonwinner121.ai,nonwinner99.ai,nonwinner12.ai,,1,
,,,,,,,,,,,,,,nonwinner164.ai,nonwinner10.ai,nonwinner91.ai,,1,
,,,,,,,,,,,,,,nonwinner152.ai,nonwinner142.ai,nonwinner95.ai,,1,
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner04.ai,nonwinner23.ai,,1,
,,,,,,,,,,,,,,nonwinner62.ai,nonwinner38.ai,nonwinner61.ai,,1,
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner67.ai,nonwinner120.ai,,1,
,,,,,,,,,,,,,,nonwinner128.ai,nonwinner17.ai,nonwinner132.ai,,1,
,,,,,,,,,,,,,,nonwinner140.ai,nonwinner97.ai,nonwinner56.ai,,1,
,,,,,,,,,,,,,,nonwinner46.ai,nonwinner68.ai,nonwinner20.ai,,1,
,,,,,,,,,,,,,,nonwinner75.ai,nonwinner136.ai,nonwinner158.ai,,1,
,,,,,,,,,,,,,,nonwinner111.ai,nonwinner129.ai,nonwinner35.ai,,1,
,,,,,,,,,,,,,,nonwinner115.ai,nonwinner66.ai,nonwinner76.ai,,1,
,,,,,,,,,,,,,,nonwinner72.ai,nonwinner165.ai,nonwinner03.ai,,1,
,,,,,,,,,,,,,,nonwinner149.ai,nonwinner34.ai,nonwinner130.ai,,1,
,,,,,,,,,,,,,,nonwinner105.ai,nonwinner93.ai,nonwinner45.ai,,1,
,,,,,,,,,,,,,,nonwinner58.ai,nonwinner44.ai,nonwinner122.ai,,1,
,,,,,,,,,,,,,,nonwinner123.ai,nonwinner49.ai,nonwinner160.ai,,1,
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner82.ai,nonwinner98.ai,,1,
,,,,,,,,,,,,,,nonwinner74.ai,nonwinner26.ai,nonwinner53.ai,,1,
,,,,,,,,,,,,,,nonwinner37.ai,nonwinner94.ai,nonwinner103.ai,,1,
,,,,,,,,,,,,,,nonwinner144.ai,nonwinner161.ai,nonwinner163.ai,,1,
,,,,,,,,,,,,,,nonwinner51.ai,nonwinner65.ai,nonwinner41.ai,,1,
,,,,,,,,,,,,,,nonwinner90.ai,nonwinner166.ai,nonwinner110.ai,,1,
,,,,,,,,,,,,,,nonwinner16.ai,nonwinner146.ai,nonwinner22.ai,,1,
,,,,,,,,,,,,,,nonwinner143.ai,nonwinner28.ai,nonwinner100.ai,,1,
,,,,,,,,,,,,,,nonwinner148.ai,nonwinner59.ai,nonwinner117.ai,,1,
,,,,,,,,,,,,,,nonwinner118.ai,nonwinner141.ai,nonwinner96.ai,,1,
,,,,,,,,,,,,,,nonwinner88.ai,nonwinner47.ai,nonwinner155.ai,,1,
