TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner07.ai,nonwinner01.ai,,3
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner11.ai,nonwinner03.ai,,3
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner06.ai,nonwinner14.ai,,3
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner09.ai,nonwinner13.ai,,3
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner12.ai,nonwinner04.ai,,3
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner05.ai,nonwinner08.ai,,3
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner03.ai,nonwinner06.ai,,3
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner02.ai,nonwinner09.ai,,3
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner15.ai,nonwinner11.ai,,3
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner06.ai,nonwinner09.ai,,3
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner12.ai,nonwinner01.ai,,3
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner10.ai,nonwinner15.ai,,3
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner08.ai,nonwinner07.ai,,3
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner05.ai,nonwinner03.ai,,3
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner05.ai,nonwinner14.ai,,3
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner03.ai,nonwinner10.ai,,3
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner08.ai,nonwinner07.ai,,3
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner02.ai,nonwinner09.ai,,3
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner11.ai,nonwinner01.ai,,3
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner07.ai,nonwinner10.ai,,3
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner12.ai,nonwinner09.ai,,3
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner05.ai,nonwinner14.ai,,3
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner04.ai,nonwinner08.ai,,3
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner11.ai,nonwinner03.ai,,3
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner08.ai,nonwinner04.ai,,3
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner02.ai,nonwinner15.ai,,3
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner10.ai,nonwinner07.ai,,3
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner01.ai,nonwinner11.ai,,3
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner14.ai,nonwinner09.ai,,3
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner11.ai,nonwinner04.ai,,3
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner05.ai,nonwinner08.ai,,3
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner06.ai,nonwinner13.ai,,3
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner01.ai,nonwinner15.ai,,3
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner07.ai,nonwinner14.ai,,3
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner07.ai,nonwinner09.ai,,3
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner03.ai,nonwinner02.ai,,3
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner11.ai,nonwinner08.ai,,3
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner05.ai,nonwinner15.ai,,3
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner04.ai,nonwinner14.ai,,3
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner07.ai,nonwinner14.ai,,3
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner15.ai,nonwinner10.ai,,3
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner03.ai,nonwinner12.ai,,3
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner06.ai,nonwinner08.ai,,3
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner04.ai,nonwinner13.ai,,3
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner12.ai,nonwinner01.ai,,3
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner10.ai,nonwinner08.ai,,3
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner13.ai,nonwinner06.ai,,3
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner05.ai,nonwinner07.ai,,3
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner11.ai,nonwinner15.ai,,3
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner07.ai,nonwinner09.ai,,3
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner01.ai,nonwinner08.ai,,3
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner03.ai,nonwinner06.ai,,3
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner04.ai,nonwinner11.ai,,3
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner15.ai,nonwinner02.ai,,3
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner15.ai,nonwinner03.ai,,3
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner04.ai,nonwinner13.ai,,3
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner11.ai,nonwinner14.ai,,3
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner07.ai,nonwinner10.ai,,3
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner01.ai,nonwinner12.ai,,3
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner10.ai,nonwinner08.ai,,3
