TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner06.ai,nonwinner07.ai,,1
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner04.ai,nonwinner14.ai,,1
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner03.ai,nonwinner02.ai,,1
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner09.ai,nonwinner07.ai,,1
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner08.ai,nonwinner11.ai,,1
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner13.ai,nonwinner05.ai,,1
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner15.ai,nonwinner12.ai,,1
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner09.ai,nonwinner04.ai,,1
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner02.ai,nonwinner06.ai,,1
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner03.ai,nonwinner13.ai,,1
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner01.ai,nonwinner14.ai,,1
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner11.ai,nonwinner03.ai,,1
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner02.ai,nonwinner04.ai,,1
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner05.ai,nonwinner14.ai,,1
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner08.ai,nonwinner10.ai,,1
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner07.ai,nonwinner09.ai,,1
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner07.ai,nonwinner03.ai,,1
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner15.ai,nonwinner08.ai,,1
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner04.ai,nonwinner12.ai,,1
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner14.ai,nonwinner10.ai,,1
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner13.ai,nonwinner01.ai,,1
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner06.ai,nonwinner11.ai,,1
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner13.ai,nonwinner12.ai,,1
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner08.ai,nonwinner04.ai,,1
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner09.ai,nonwinner07.ai,,1
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner14.ai,nonwinner03.ai,,1
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner12.ai,nonwinner06.ai,,1
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner02.ai,nonwinner14.ai,,1
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner10.ai,nonwinner09.ai,,1
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner13.ai,nonwinner01.ai,,1
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner11.ai,nonwinner15.ai,,1
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner11.ai,nonwinner04.ai,,1
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner14.ai,nonwinner13.ai,,1
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner01.ai,nonwinner05.ai,,1
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner12.ai,nonwinner02.ai,,1
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner07.ai,nonwinner03.ai,,1
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner07.ai,nonwinner08.ai,,1
