TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner05.ai,nonwinner08.ai,,4
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner14.ai,nonwinner04.ai,,4
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner03.ai,nonwinner12.ai,,4
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner12.ai,nonwinner03.ai,,4
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner01.ai,nonwinner14.ai,,4
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner10.ai,nonwinner15.ai,,4
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner08.ai,nonwinner11.ai,,4
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner07.ai,nonwinner13.ai,,4
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner08.ai,nonwinner01.ai,,4
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner02.ai,nonwinner12.ai,,4
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner15.ai,nonwinner05.ai,,4
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner11.ai,nonwinner03.ai,,4
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner06.ai,nonwinner04.ai,,4
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner02.ai,nonwinner14.ai,,4
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner11.ai,nonwinner08.ai,,4
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner12.ai,nonwinner09.ai,,4
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner07.ai,nonwinner06.ai,,4
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner15.ai,nonwinner01.ai,,4
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner14.ai,nonwinner09.ai,,4
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner08.ai,nonwinner06.ai,,4
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner13.ai,nonwinner11.ai,,4
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner01.ai,nonwinner15.ai,,4
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner02.ai,nonwinner03.ai,,4
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner12.ai,nonwinner13.ai,,4
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner03.ai,nonwinner06.ai,,4
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner02.ai,nonwinner04.ai,,4
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner14.ai,nonwinner09.ai,,4
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner10.ai,nonwinner01.ai,,4
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner04.ai,nonwinner07.ai,,4
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner12.ai,nonwinner14.ai,,4
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner01.ai,nonwinner02.ai,,4
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner05.ai,nonwinner06.ai,,4
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner13.ai,nonwinner11.ai,,4
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner13.ai,nonwinner11.ai,,4
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner04.ai,nonwinner07.ai,,4
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner02.ai,nonwinner05.ai,,4
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner08.ai,nonwinner14.ai,,4
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner06.ai,nonwinner03.ai,,4
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner07.ai,nonwinner04.ai,,4
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner09.ai,nonwinner11.ai,,4
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner14.ai,nonwinner13.ai,,4
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner06.ai,nonwinner08.ai,,4
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner10.ai,nonwinner02.ai,,4
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner09.ai,nonwinner07.ai,,4
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner06.ai,nonwinner05.ai,,4
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner04.ai,nonwinner08.ai,,4
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner12.ai,nonwinner01.ai,,4
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner13.ai,nonwinner14.ai,,4
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner04.ai,nonwinner10.ai,,4
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner08.ai,nonwinner09.ai,,4
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner11.ai,nonwinner14.ai,,4
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner06.ai,nonwinner02.ai,,4
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner01.ai,nonwinner07.ai,,4
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner01.ai,nonwinner10.ai,,4
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner15.ai,nonwinner04.ai,,4
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner13.ai,nonwinner05.ai,,4
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner09.ai,nonwinner14.ai,,4
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner08.ai,nonwinner07.ai,,4
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner13.ai,nonwinner14.ai,,4
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner01.ai,nonwinner04.ai,,4
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner07.ai,nonwinner11.ai,,4
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner03.ai,nonwinner08.ai,,4
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner10.ai,nonwinner05.ai,,4
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner07.ai,nonwinner05.ai,,4
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner04.ai,nonwinner09.ai,,4
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner12.ai,nonwinner03.ai,,4
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner14.ai,nonwinner08.ai,,4
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner15.ai,nonwinner01.ai,,4
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner04.ai,nonwinner08.ai,,4
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner07.ai,nonwinner10.ai,,4
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner05.ai,nonwinner03.ai,,4
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner06.ai,nonwinner14.ai,,4
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner09.ai,nonwinner01.ai,,4
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner08.ai,nonwinner02.ai,,4
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner15.ai,nonwinner11.ai,,4
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner03.ai,nonwinner13.ai,,4
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner07.ai,nonwinner06.ai,,4
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner04.ai,nonwinner01.ai,,4
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner02.ai,nonwinner03.ai,,4
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner08.ai,nonwinner01.ai,,4
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner05.ai,nonwinner12.ai,,4
,,,,,,,,,,,,winner01.ai,,,,,,4
,,,,,,,,,,,,winner01.ai,,,,,,4
,,,,,,,,,,,,winner01.ai,,,,,,4
1,6905,,,30,26,38,31,,,71,74,free01.ai,free04.ai,,,,base02.ai,4
2,105,,,,,42,37,53,52,73,62,free01.ai,free02.ai,,,,base02.ai,4
3,7009,08,11,,,,,58,60,66,69,free02.ai,free03.ai,,,,base02.ai,4
4,497,,,,,34,32,56,46,62,66,free01.ai,free02.ai,,,,base02.ai,4
5,3590,,,,,40,39,47,51,61,67,free01.ai,free02.ai,,,,base02.ai,4
6,2406,,,,,39,40,56,54,66,71,free01.ai,free02.ai,,,,base02.ai,4
7,1900,,,26,30,,,52,53,63,66,free01.ai,free03.ai,,,,base02.ai,4
8,7630,,,23,20,,,57,48,66,61,free01.ai,free03.ai,,,,base02.ai,4
9,2239,,,,,33,36,58,48,70,72,free01.ai,free02.ai,,,,base02.ai,4
10,1360,,,29,17,,,49,46,70,64,free01.ai,free03.ai,,,,base02.ai,4
11,4632,,,,,43,42,59,56,70,74,free01.ai,free02.ai,,,,base02.ai,4
12,2103,,,,,32,41,55,54,74,69,free01.ai,free02.ai,,,,base02.ai,4
13,5251,,,,,40,35,47,55,69,73,free01.ai,free02.ai,,,,base02.ai,4
14,638,,,,,45,43,54,58,70,61,free01.ai,free02.ai,,,,base02.ai,4
15,7482,,,29,27,39,41,48,52,64,63,free01.ai,,,,,base02.ai,4
